text;atc_codes;meddra_codes;class
Ode Suis épuisée de lutter cintré cette maudite bouteille  Merci hbb Comme j'ai écrit dans mon précédent il y une amélioration dans ma conso avec ma nouvelle répartitions Un grand merci à toi Change Je n'ai plus d'angoisse le matin au réveil et je ne pleure plus Je pense que c'est le Zyprexa qui fait son travail cela fait 15 jours que je le prends je me mélange avec les dates En revanche j'ai constaté et cela m'ennuie beaucoup depuis mardi j'ai les jambes les chevilles et les pieds qui enflent c'est la première fois Bon je ne suis pas toute jeune non plus J'ai un énorme coup de barre vers 21 H j'en prends un 10mg le soir au repas et j'ai pris du poids Le coup de barre peut venir de cette molécule ou peut être de ma nouvelle répartition de baclo peut être Ce qui m'inquiète le plus ce sont mes jambes Depuis hier je n'en prends plus qu'un demi pour voir si il y a une amélioration et je vois mon médecin mercredi prochain Merci change pour le Baclo au coucher j'ai nettement moins de sueurs nocturnes J'aimerais passer à 230mg j'espère que je vais réussir à me connecter sur demandes de répartitions Ce soir je commence le Théralène j'ai préféré attendre le week end et je vous tiens au courant Bon week endBisesOde;10002507 10029410;N05AH03;non
A votre santé  Bonsoir Phil excuses moi de prendre encore un peu de ton temps de par ma question Voilà je prends le baclo depuis environ mai 2012 je pesais 50kgs à l'heure actuelle je pèse 70kgs Bon entretemps environ janvier 2013 j'ai refais une dépression due au baclo et mon médecin m'a mis sous AD cipralexa séroplex chez vous comme cela n'allait pas encore bien il m'a doublé mes AD Donc depuis un an et quelques mois j'ai pris 20kgs je suis suivie par un diététicien depuis environ 3 mois 1 2 j'ai un régime personnalisé à 1740 kcal que je suis bien et je n'ai pas perdu 1 gramme D'après toi est ce du au baclo ou aux ad là je suis perdue et je me sens très mal dans mon corps Merci d'avance de ta réponse et passes un bon dimanche Bien à toi Mumu;10012378;;non
victoza et Byetta Moi aussi j ai arrête en mai victoza car mes glycémies étaient stables au bout de 3 mois peu maigri et gros soucis digestifs donc la depuis juin reprise de byetta plus ça va moins je mange c super et perte de 6 2 kilos lentement et sûrement j ai plus qu a voir si mon hba1c a baissé mais depuis qq temps je ne sais si c lie a glucophage j ai comme qd j ai arrête victoza des rémonds d' œufs pourri puis diarrhée après ça va super bien a suivre tu étais prévu pour novembre 201307 03 TG 09 03 664 ui14 03 5283 ui04 04 tu fais 1 5 cm 24 04 tu as grandi 4 2 cm tu gigotes du bonheur 29 09 4 8 cm03 05 tu fais 5 25 cm à 12sa 1 11 06 écho de contrôle des 17sa 5 tu es un petit garçon de plus ou moins 220g 11 07 écho des 22sa ok 513g et depuis 1 semaine tu te manifestes plus souvent dans le bidou 23 08 écho des 28sa 1 un bebe garçon qui a bien profité et plein de vitalitédéjà près de 1 3 kilos02 09 je passe à la pompe à insuline pour notre bien bonne gestion des glycémies à l'hôpital mais moins à la maison je dois me réadapter19 09 tu fais deja 2 3 kilos à 32 sa tu es au dessus de la courbe maman doit faire attention à son alimentation à partir du 20 09 Monitoring tension visite de la gygy toutes les semaines27 09 je dois rééquilibrer mon diabète et je souffre d'oedeme aux chevilles un peu d hypertension si ça ne s'améliore pas hospitalisation d'office jusqu'a la fin notre fils est ne bien en avance a 36sa le 17 octobre 2013 par voie basse 3 590 kilos pour 49 cm2 mois 6 2 kilos;10012735;A10BJ02 A10BJ01;non
Partie 4 La descente débutée le 1 er Février 2014 Mon cher Stephane Grrrrrrrr et Re grrrrrrrrrrr NAN je ne l'oublierais plus Et pourtant je suis plus que rigoureuse mais débordée à la maison avec la famili de passage D'ailleurs en parlant de famille Mon grand frère qui m'a remonté grave les bretelles il y a 4 ans suite à une descente vertigineuse de sa mirabelle un soir ne c'est même pas aperçu de mes changements de consommation J'ai failli lui parler à lui l'éducateur de rue bien au courant des addictions mais je n'ai pas réussi en me disant à quoi bon De même pour mon AD que je prends depuis 1997 je n'en ai jamais parlé à ma famille car il ne me croirait pas j'ai déjà entendu ma soeur me dire Toi en dépression eh ben alors la terre entière serait au bord du gouffre j'ai essayé de leur faire comprendre qu'il existait plusieurs formes de dépression mais pour eux c'est encore l'image de la personne qui ne peux pas se lever Alors parler du baclo je n'avais pas envie d'entendre encore ce discours moralisateur sur la volonté Je suis toujours aussi contente et bien dans mes tongs malgré que se foutu ES de toux nocturne est revenu au galop depuis ma consolidation à 10 mg Patience ça va passer Bonne journée à tous Ps ma chère petite Barbakaka ta petite Barbamama ne vaut plus que l'on l'appelle barbamachin non mais ;10012378;;non
moire SVP aidez moi  Bonsoir HBB et les autres Je constate que je n'interesse personne a part Change et HBB Tom a de la chance un fil hyper actif J'aimerai un peu de soutien car en ce moment j'en ai besoin Des tourments dans ma vie il va falloir dans les prochains jours que je prenne la décisiond'euthanasier ma petite chienne dur dur Surtout quand on est seule Un de mes fils m'ignore grand silence agressivité verbale quand je le vois Je ne saiscomment l'aborder Je continue a maigrir pouvez vous me rassurer sur ce plan là Il est vrai que je mange peu je dors peu Je me pose la question pourquoi le BACLO Je déprime je ne peux plus faire de sport Je suis vidée Le quotidien me pése Pourquoi je n'ai pas la volonté d'arretersans le BACLO Ils y en a qui y arrivent Merci à vous de me répondre Moire ;;;non
Un pas après l'autre  Bonjour 30 ans d ' alcool derrière moi aujourd'hui je me retrouve seul enfin non il y a mes enfants une vie sociale anéantie un bilan catastrophique ma compagne m' ayant quitté il y a quelques mois depuis c'est la descente je rame grave embaucher chaque matin c'est pas façile j'ai fais le parcours classique alcoologue psy j'ai peut etre trouvé une psy pas mal mais je ne sais pas parler de moi de mes émotions le baclofene c'est peut etre la solution en tout cas je mise beaucoup dessus j'augmente doucement comme dit de 10 tout les 3 j j'en suis à 90 mg encore loin de la prescription moyenne pas façile les ES à supporter légeres envie de vomir des reves bizarres voir tres bizarres et le soir je m'écroule lamentablement je m' accroche si mon quotidien pouvait etre un peu plus supportable ça serait bien désolé pour cette présentation plutot déprimante;;M03BX01;non
Byetta 5 et 10u titoune494 a écrit Bonsoir Une question importante on me dit de faire le byetta une demi heure à une heure avant le repas est ce votre cas car c est pas facile de gérer ça on ne mange jamais à la même heure Merci de vos réponses l'ideale c'est une demie heure perso je suis sous byetta 10 depuis 3 semaines et j'ai de bons resultats moins 3 kilos depuis debut traitement et mon hb est passée de 10 5 a 7 3 et glycemies bien descendues je suis assez contente plus trop de nausées du bonheur Par contre j'attends avec impatience des nouvelles pour grossesse et byétta bonne année a tous traitement byétta 10 4 diamicron matin et glucophage 3 jours ;10028813;A10BB09 A10BJ01;non
moire SVP aidez moi  Re Moire qui appel a l'aide Je suis mal grosse déprime encore et encore J'ai besoin de conseil re alcoolisme car j'ai réduis ma prise de Baclo suite a ma perte massive de mes cheveux cela continue et je m'en fiche à ce jour Donc je recommence à augmenter le Baclo Dommage j'étais abstinente enfin indifférenteà l'alcool Mes cas de conscience 1 ma maman 99 ans qui a ce jour ne peux plus rester seule Je m'en occupe de 12 h à 20 h30 quand je suis la Mais si je suis absente des bêtises situation récente La décision la mettre en maison de retraite Le peux de consciencequi lui reste elle ne veut pas Vendre sa maison que faire Je n'arrive pas à prendre une décision 2 ma chienne euthanasie ou pas elle va trés mal a certains moments puis un semblant de vitalité Elle est condamné 2 à 3 mois de survie d'aprésle veterinaire cancer La encore je n'arrive pas a prendre une décision Merci de me donner vos avis Moire ;10001639 10000424;;non
A votre santé  Bonsoir en effet le baclofène peut faire grossir ou maigrir chez les alcooliques et je pense qu'il en est de même chez ceux souffrant de TCA Il n'y a pas de règle Personnellement j'ai pris du poids les premières mois de mon traitement parce que j'avais plus d'appétit aux repas Après cette période j'ai commencé à en perdre jusqu'à retrouver mon poids initial En ce qui vous concerne vous les TCA je comprends que cela soit plus problématique mais en régulant vos pulsions et vos crises cela devrait rentrer dans l'ordre Bien à toi;10016736;;non
Baclo où la lumière après le tunnel Merci Christobal pour tes mots d'encouragement J'en ai bien besoin Comme tu dis chaque personne ne réagit pas de la même façon aux médocs C'est ce qui m'inquiète un peu pour les AD que je prends pcq ça prends du temps avant d'agir et si c'est pas le bon alors on doit tout recommencer avec les ES et notre déprime reste là en attente de soulagement J'ai hâte d'en sortir mais la patience s'impose dans mon cas Comme je suis anxieux je me demande comment gérer le baclo et l'AD Quels effets secondaires viennent de quel médoc Certain disent que le baclo aide pour l'anxiété d'autres disent que non On finit pas ne plus savoir De plus je n'ai jamais aimé prendre des médicaments alors qu'avec le baclo j'en ai pris et j'en prends encore pas mal 290mg au max et maintenant 120mg Le pire c'est les idées noires qui m'envahissent par moment Ma psy et les livres que je lis m'apprennent à accepter ces pensées comme des pensées de ne pas tenter de les éviter ou de les rejeter Mais parfois je suis fatigué de penser à mes soucis aux erreurs du passé aux incertitudes de l'avenir Mon sommeil étant perturbé ces jours-ci je n'ai pas de répit Bref je dois être patient et croire en l'impermanence des choses J'ai beaucoup lu sur et pratiqué la pleine conscience ces derniers temps vivre dans le moment présent prendre conscience de son corps et de sa respiration accepter la vie telle qu'elle est Facile à dire mais as-tu déjà essayé de te brosser les dents sans penser à autre chose que de te brosser les dents Essaie une fois tu vas voir que c'est pas facile Tu as raison je suis bien entouré et c'est une chance dans mon cas mais je me sens tellement fragile en ce moment Je suis content que ça se soit bien passé pour toi dans ta famille J'envie ta zenitude mais je ne désespère pas de retrouver la mienne Belle et bonne journée et désolé pour mes épanchements Pierre ;10002866;;non
 BonjourJe me reconnais tellement dans ton post il y a pas mal de similitudes entre nos vies dans l'enfer de la dépression et de l'anxiété généralisée Je suis une femme de 30 ans premier AD à 17 ans pour cause de terribles insomnies d'origine anxieuse traitées par Laroxyl Puis de nombreux traitements se sont enchaînés au fil des années car je retombais toujours en dépression ou dans des attaques de panique zoloft prozac pendant longtemps puis pendant environ 2 ans je n'ai plus rien pris même si avec le recul j'étais très angoissée A cause de cette maladie j'ai eu une vie professionnelle catastrophique démissions CDD ou missions interrompus trous à répétition dans le CV Aggravation fin 2007 passage au seroplex 10 puis 15 En 2008 sous seroplex 15 ai finalement réussi à commencer une mission interim comme j'étais très fatiguée j'ai diminué le seroplex à 10 puis 5 Puis énorme rechute bref pour finir après un échec de Valdoxan que je souhaitais essayer pour ses effets bénéfiques sur le sommeil cela n'a pas marché pour moi du tout je suis de retour avec le seroplex Sous 10 mg j'ai toujours de terribles angoisses alors depuis 2 jours je suis à 15 mg Beaucoup de psys m'ont dit de passer à 20 mais je me sens déjà très fatiguée à ce dosage Il semblerait qu'à 20 il calme vraiment les angoisses mais bien sûr cela doit aussi casser pas mal Bref bilan je ne travaille plus je dépends de mon mari pour vivre Les angoisses sont telles que je ne peux faire aucun travail j'ai un bac 5 pfff Bien sûr si je me sentais mieux pour chercher un petit travail on ne me contactera pas car inactivité depuis plus de 6 mois et surdiplômée Envisager de fonder une famille avec ce traitement pas possible Bref je me pose les mêmes questions que toi sur l'effet à long terme des AD mais je sais que je ne PEUX pas vivre sans rien prendre J'ai tout essayé plantes acupuncture sport etc tout cela marche je pense dans certains cas mais pour ma part je pense que je souffre d'un dysfonctionnement quasi biochimique dans le cerveau de ce fait je me désespère de guérir Ce que je note c'est une nette aggravation de la maladie au fil des années à se demander si cela n'est pas inéluctable Quand à la libido elle a totalement disparu j'ai un mari certes compréhensif mais comme c'est dur de ne plus se sentir femme Voilà cela fait du bien de vider son sac A plusMessage cité 2 fois;10040658 10002866;N06AA09 N06AB03 N06AB10 N06AX22 N06AB06;non
Echelle de moral la Revanche flashbic1 a écrit J'ai commencé cymbalta hier matin résultat dormi de 13h à 19h et aujourd'hui je suis complètement crevé Après ma première prise de Cymbalta j'ai dormi 18h d'affilé Puis le jour d'après c'est redevenu normal Dessine moi un mouton et j'en ferais ma monture pour voyager à travers le monde;;N06AX21;non
Byetta 5 et 10u bonjour femme de presque 44 ans varoise mariée un bel ado de 17 ans heureuse en amour épanouie par son travail loisir point compté passionnémentIMC 35 1 57m pour 87 2 kgs diverses chirurgies de l'obésité dnid depuis 16 ans diabète gestationel prise de Byetta depuis 2 jours avec glucovance 500 effet négatif nausées non stop douleurs intestinales et sous les côtes coté droit pas envie de manger glycémie à jeun lundi 2 09mardi 2 12mercredi 1 59injection 5 mns avant le petit déj et le souper 1 glucovance le soir régime alimentaire W Watchers depuis mardi je vais donner régulièrement des nouvelles de cette expérience que j'espere réussie sinon ce sera le by pass qui me débarrassera du poids et du diabète mais ceci est un autre sujet amicalement ;10012601 10028813 10029402 10029883;A10BD02 A10BJ01;non
cymbalta effets secondaires garrulus a écrit Bonsoir Itsbeautiful Je découvre ton message du 23 septembre à l'instant j'étais à l'étranger quand tu l'as posté As-tu changé de traitement pour cymbalta As-tu obtenu une amélioration de ton état Je suis effectiment passé au début du mois de mars dernier d'effexor 2 cp 37 5 mg LP jour à cymbalta 1 cp 60 mg jour Dans un premier temps j'ai ressenti un regain très notable d'énergie et surtout l'éclatement de la bulle dans laquelle je me trouvais enfermé pour moi c'est le début de la guérison Mais assez rapidement de l'ordre de 2 à 3 mois plus tard j'ai à nouveau souffert d'hypersomnie moins cependant qu'avec effexor Une réduction de la posologie de 60 à 30 mg jour a efficacement résolu le problème Actuellement je suis en pleine forme n'ai plus ni angoisse ni crise de panique et ne suis plus somnolent J'ai repris mes activités professionnelles assez partiellement toutefois car j'ai encore un peu de mal à me concentrer durablement sur une tâche un peu complexe Mais je suis sur la bonne voie Sur les conseils de mon psy je poursuis le traitement cymbalta jusqu'au printemps prochain c'est à dire jusqu'au retour des jours plus longs et entamerai ensuite un sevrage très progressif Bon courage Bonjour Garrulus Je suis contente que tu aies vu mon message Oui j'ai arrêté avec les conseils de mon psychiatre l'effexor en octobre dernier et j'ai commencé le cymbalta direct à 60mg Pendant 1 mois je prenais 37 5 d'effexor par jour et 60mg de cymbalta Puis toujours préscription médicale j'ai arrêté l'effexor et continué le cymbalta Dès que j'ai arrêté l'effexor je me suis sentie moins fatiguée de tonus un peu pile électrique même des fois pas très agréable ça par contre et moins besoin de dormir la nuit 9h me suffisait MAIS cette période de regain d'énergie n'a duré que 2 semaines J'ai ensuite la fatigue qui est revenue et re-besoin de dormir 11h par nuit mais cependant je suis moins fatiguée que qd je prenais l'effexor Et depuis 5 jours ma psychiatre m'a prescrit comme traitement du PROSAC et 30mg de cymbalta Elle m'a dit qu'on allait tester pour voir si le Prosac me convient mieux J'espère vraiment me débarasser de cette fatigue je ne me sens pas déprimée C'est cette fatigue qui me freine et M'EMPECHE de faire les choses alors que j'en ai ENVIE Message édité par itsbeautiful le 25-01-2010 à 18 28 44;10020765 10016256;N06AB03 N06AX16 N06AX21;non
Début de la prise de Cymbalta moi je suis en sevrage du cymbalta car il ne ma du tout convenu j'avais trop de nausee desordre intestinal fatigue intense et cela pendant 4 mois maintenant j'essaye le zoloftcourage avous;;N06AX21;non
Le fil de Mathilde  Merci à toi je t'ai répondu sur mon fil Je ne pense pas faire une grosse déprime après essais nous pensions que c'était dû à l'AD au départ maintenant je suis convaincu que mes idées morbides sont dû au baclo du coup peux pas monter Bisous et merci PS t'as pas aimé ma recette de gratin de pomme de terre ;;;non
Posologie Je viens de lire ton fil Mitche ben j'avais tendance à passer en coup de vent en fait à lire que les derniers posts D'abordCitationEn une semaine avec le baclofene tout à bascule Tout est redevenu noir je me détestais et puis je n'avais plus du tout ma tête Exactement ce qui m'est arrivé d'où le titre de mon fil la conso de baclofène a entraîné une dépression chez moi et j'ignorais à l'époque les raisons ça n'a pas duré longtemps 1 mois maxi avec AD et avec le forum Exactement les mêmes sentiments que tu rapportes Bon tu vas mieux j'espère Attention je ne sais pas si on te l'as dit mais parfois on peut être mal avec le baclo et ce n'est pas toujours à cause de la quantité Une dose qui ne nous convient pas Compliqué hein Parfois il faut rester stationnaire d'autres fois dépasser la dose ou baisser compliqué quoi Pour ça qu'on conseille de chercher dans son ressenti ses désirs N'arrête pas dans tous les cas Va jusqu'au bout du bout Comme d'habitude La porte là Là où il y a de la lumière Bisou ;10000424 10012378;M03BX01;non
déprime dépression pas de bol ras le bol GUERISON  Bonsoir Babouche je m'en vais au lit mais avant juste te dire que le gel des émotions existe bel et bien et est bien dû au baclo pour moi il n'est pas irréversible dans mon cas et je dis bien dans mon cas après avoir doublé mon AD mes émotions me sont revenues mais comment dire pas exarcerbées ce qui m'arrange très bien Donc maintenant suis capable de ressentir de la joie de la peine de la douleur tout en étant que je suis plus lucide face à certaines situations et que je ne fonces plus dans le lard J'ai acquis un recul certain face à certaines situations et je ne m'emballe plus comme avant Je ne suis pas très claire mais bon c'est ce que je ressens Courage ma Babouche ça va le faire passes une douce nuit gros bisous Mumu;10012378 10033371;;non
Bonjour  Du 25 07 au 05 08 12h 20 14h 20 16h 20 06 08 au 10 08 20-20-30 11 08 au 18 08 20-20-40 19 08 au 23 08 12h30 20-14h 25 15h30 25 17h 40 110 Début des ES insomnies sueurs nocturnes cauchemars douleurs articulaires et puis je rebois un peu Après l'euphorie des premiers jours retour aux mauvais moments 24 08 au27 08 11h 10-12h30 10-14h 15-15h 15 17h 20-20h 30 120 Nouveaux ES ajoutés aux premiers troubles visuels impression d'avoir le visage figé impossible de sourire difficultés à m'exprimer…déprime 28 08 au04 09 11h 10-13h 15-15h 20-17h 25-19h 30-21h35 135 De moins en moins bien moralement je ne me regarde même plus dans une glace parce que je ne connais pas cette femme-là éteinte sans envie sans mot sans joie…Je ne participe plus aux conversations lorsque je me trouve avec des amis d'ailleurs je pense que tout le monde se fout de mon état puisque personne ne semble s'inquiéter…Particulièrement ici sur le forum hélas où Karine me tend enfin la main Car comme beaucoup de dépressifs plus le mal être nous envahi et plus nous nous isolons fermés… à tous…à tout 04 au 07 09 après un mp de conseil d'Albéric et la consultation avec le doc-baclo par rapport aux ES 9h30 25 12h 25 14h30 30 17h 30 110 08 au 12 09 mêmes horaires 40 à 17h Je suis un zombie avec la panoplie d'ES en prime dont les cauchemars de plus en plus réalistes de plus en plus tripant Je rejoins ma fille à Perpignan et là…son regard Je n'arrive même pas à lui expliquer correctement ce que je vis Elle est au courant pour le traitement bien entendu mais dans l'état où je suis mon cerveau est une bouillie incapable de produire quoique ce soit de cohérent Nous ne nous reverrons pas de sitôt et je ne suis qu'une niaise demeurée face à une toute jeune fille effarée au spectacle de cette femme qui est censée être sa mère Sa mère gaie joyeuse pleine d'esprit de réparties amusantes et capable à égalité d'écouter d'échanger avec tout un chacun Le 13 09 je descends à 100 pour essayer de quoi au juste Je n'en sais rien de toute façon je suis tellement perdue que je ne réfléchis plus Nous partageons une dernière soirée un peu plus détendue avec ma fille et son ami Je suis malheureuse et je pleure sur la route du retour 14 09 au 01 10 totalement out Déconnectée de moi-même et de ce qui m'entoure… au fond de la piscine mes prises se font en dépit du bon sens j'augmente je diminue sans plus me soucier des ES parce que mon pote Alcoolitoo est de retour Les réveils tardifs et vaseux itou… 14 09 120 25 25 30 40 15 09 140 30 30 35 45 19 09 150 30 30 40 50 avec un sérieux malaise après la dernière prise envie de vomir problèmes respiratoires et début de perte de conscience RDV avec ma médecin je me livre enfin et cela me fait du bien Elle s'inquiète sur la continuité du traitement Avec le baclo-doc retour progressif jusqu'à 120 hélas j'entends déjà un chant de sirènes … Aujourd'hui 9h30 25 – 12h 25 – 14h30 35 – 17h 45 130 pour contrer l'appel de 17 18 h qui d'ailleurs est migrant si je lui résiste jusqu'à 20h… Je suis désolée de vous imposer cette longue liste de dates de chiffres Je me croyais abandonnée Cela a commencé doucement Un coup de fatigue un coup de mou comme l'on dit ES sans doute…Et puis est venu le temps de l'éloignement du repli sur soi des mensonges Ce soir Non désolée je ne peux pas… Oh vraiment tu sais ça ne me dit rien ce repas cette sortie avec eux… L'oubli des rdv avec Pôle emploi pas bon du tout Ne plus répondre au téléphone même si c'est la boîte d'intérim Et puis traîner en pyjama devant la télé sans la voir ni l'écouter vraiment Ne plus se laver que le vendredi après-midi parce que je rejoins mes copains de W-E Essayer de prendre un rdv avec un psy en juillet le noter précieusement 25 septembre à 9h devoir le décaler pour un entretien qui ne donnera rien Vous avez de la chance un désistement le 3 octobre à 17h et au final l'oublier La honte qui m'interdit de rappeler…et puis tout s'enchaîne mes erreurs avec le baclo la fatigue de plus en plus lourde le repli en moi parce que je n'en peux plus de mon état et que rien ne me sauve au contraire tout m'entraîne ver le vide Je ressentais comme un grand vide un grand vide intérieur Chaque minute de chaque heure de chaque jour était insupportable pas une seconde de répit pour ce mal être qui me rongeait de l'intérieur et qui prenait le contrôle sur ma vie C'est une monstruosité qui s'insinue sous la peau envahit et anéantit l'esprit Des pensées sans cesse négatives la perte d'une partie de soi La dépression est une maladie sournoise ;10047518 10020044 10012378 10029414 10029410 10000424 10016365 10024855;;non
A votre santé  Phil ça fait qq jours que je me sens clairement déprimée et aujourd'hui tout me donnait envie de pleurer envie de rien même pas d'aller nager pensées négatives sentiment d'echec de tout idées noirs le baclo déclenche il la dépression ou la révèle t'il ;10012378;;non
Un appel à l'aide  Bonjour à tous J'ai parcouru rapidement quelques posts et j'ai decidé d'ouvrir mon propre fil afin de me présenter et de vous demander de l'aide Je vais essayer de faire rapide car je peux être très bavarde J'ai 30 ans et même si ça me fait mal de l'avouer je suis alcoolique Il y a encore quelques années je ne buvais pas du tout de peur je pense de finir comme mon frère alcoolique depuis près de 20 ans plusieurs cures stabilisé seulement depuis une petite année Je ne sais pas ce qu'il s'est passé J'étais une jeune femme très angoissée et le suis toujours et un jour j'ai abandonné j'ai cessé de lutter A l'époque 2006 je regardais la série Desperate Housewives Et voyant BreeVandeKamp prendre un verre de Chardonnay dans un bain chaud pour se détendre je me suis dit Pourquoi pas Et oui ça m'a détendue Plus de tension dans mon corps plus de crise d'angoisse Si bien que c'est devenu une habitude Mais le verre de vin s'est transformé en deux puis trois puis la bouteille quotidiennement voire un peu plus à présent Ca a duré un temps mais à présent mes angoisses reviennent mon sommeil est desastreux et bien sur comme vous le savez plus j'augmente la dose pire c'est Sans parler des 15 kgs que j'ai pris J'en ai parlé à plusieurs psy plusieurs medecins mais comme vous le savez aussi on a tendance a minimiser le problème et personne ne me prend au sérieux La seule fois où l'on m'a prise au sérieux on m'a prescrit le fameux baclofène que je ne supporte absolument pas J'arrive à ne pas boire quand je suis hors de chez moi chez des amis ou en vacances Mais dès que je reviens dans mon appartement seule mes démons me rattrapent Je tourne en rond comme un lion en cage jusqu'à que j'ai ma dose J'ai essayé plusieurs choses me mettre des limites la phyto l'homeo l'acupuncture autant pisser dans un violon prendre un petit anxiolytique pour me detendre le soir j'ai même lu le bouquin d'Allen Carr et ca a marché trois jours Je suis terrifiée je me reveille toute les nuits avec des idées noires tous les jours je me promets de ne pas boire et tous les jours je continue Je ne vois plus mes amis car je prefère rentrer chez moi et me servir un verre j'ai honte je culpabilise mais surtout j'ai peur Vraiment peur Peur qu'il soit trop tard Peur d'arreter d'un coup et de partir en vrille Peur de me sentir seule une fois la bouteille sortie de ma vie Et à la fois si vous saviez combien je désire retrouver mon existence d'avant Alors me voilà même si je me sens ridicule moi qui ai la réputation d'être un roc moi qui deteste demander de l'aide car j'ai toujours considéré que c'était une preuve de faiblesse je viens vous demander de m'aider Comment je ne sais pas mais à l'époque où je souffrais de crises de panique je sais que le soutien trouvé sur des forums avait été très important dans ma guérison Ruby;10047862 10002856 10000424 10033665;;non
déprime dépression pas de bol ras le bol GUERISON  Bonsoir à tous Vous êtes TOUS adorables Aujourd'hui journée Plus d'angoisses ni même de somnolences ni même de siestes Journée NORMALE somme toute Gérard Jeanine et Méliane merci pour votre bienveillance sans faille Mimi Tu sais je ne vais pas m'étendre mais Mes enfants je crois qu'ils s'en fichent à peu près que je boive ou non Ils me l'ont confié Je crois qu'ils sont contents de cette indifférence parce que je le suis sans plus Je leur en parle davantage en ce moment je les titille je leur démontre combien c'est extraodinaire Mais bof oui on le voyait bien quelquefois que tu avais bu et puis Je crois que c'est en relatant ma souffrance personnelle qu'ils comprennent le mieux Ah dans ce cas-là oui il fallait arrêter Je leur raconterai plus tard combien j'ai pu les mettre en danger parfois Combien je pouvais tomber combien embrumée je pouvais leur raconter des histoires le soir Leur comportement assez indifférent me va Cela prouve que je ne leur ai pas fait trop de mal finalement En tout cas je m'y suis appliquée J'ai toujours été présente pour eux Mimi hors de question de m'y prendre autrement Et j'ai toujours eu des échanges très perso avec eux D'ailleurs je n'avais pas le choix puisque leur humainement absent J'ai fait le boulot pour 2 Dans l'histoire il me semble que ce sont plutôt les ES du baclo qui les ont le plus marqués Drôle P'tite Fripoune Toujours pas de pilulier en poche Je vais me tourner vers internet pour faire mes choix Il y aura les frais de port en sus mais tant pis Mamanue Alors je compte sur toi si tu suis Fortiche c'est 6 prises que je prends Et puisqu'il doit me suivre si longtemps Et puisque je dois être rigoureuse J'aimerais un pilulier au top Comment se fait-il que sur ce forum il n'existe pas une discussion qui lui est réservée ;10012378;;non
un an de baclo indifférente Mon craving est tjs à la même heure je le sais le connais 18h 19 20h Le mieux serai de prendre 5 baclos à 17h mais cela me 'mets mal' je me sens droguée voit trouble maux de jambes mais demain je retente la charge à cette heure là vais re essayer La semaine derniére j'ai fait une erreur de posologie 17h 4 baclos je sors au parc avec les momes 19 h panique persuadée d'avoir oublié j'en reprends 4 c là aprés je recalcule ma plaquette et merde j'avais déjà pris coup double Euh j'ai repris le métro mal suis rentrée mal mais je riais seule j'ai mal dormi mais pas bu j'y ai pensé mais beurk pas de craving vais donc ré orienter ainsi aprés faudra voir avec mes horaires bureau mais là reste 1 semaine et je mets les chances de mon côté Suis à 100 110 Bises ma 'conseillére' Manon;;;non
Petit questionnaire posologie Baclofène Et hop un de plus 1 Réussite ou échec Réussite 2 à quelle quantité de baclo étiez-vous 90 mg 3 au bout de combien de temps de traitement 3 mois et demi 4 comment cette quantité est-elle répartie sur la journée Actuellement 40 mg à 8h 25 mg à 13h et 25 mg à 18h 5 quelle s étai en t votre vos heure s de craving En semaine j'étais tranquille pendant les heures de travail aucune pensée d'alcool Mon craving ne se manifestait que sur le chemin du retour Il était donc lié à une situation pas à une heure particulière Le week-end c'était craving à toute heure En période de chômage n'importe quel jour a n'importe quelle heure Avec une prépondérance peut-être pour l'après-midi soirée Mes cravings étaient déclenchés par des situations états d'esprit émotions et pouvaient survenir n'importe quand y compris en pleine nuit 6 votre quantité de baclo à ce jour 90 mg 7 ES effets secondaires M moyens somnolence déficit d'attention sudations nocturnes et cauchemars réalistes ponctuels troubles de l'accommodation presbytie léger acouphène dysarthrie ponctuelle extinction de voix paresthésie fourmillements au niveau de l'œil droit sensation d'étouffement Persistants après 5 mois à 90 mg L légers somnolence déficit d'attention presbytie léger acouphène paresthésie sensation d'étouffement Tout est parfaitement tolérable Liés a une consommation excessive d'alcool associée au Baclo pendant le traitement F forts malaise idées noires anxiété humeur dépressive 8 à l'occasion de votre traitement avez-vous diminué un autre traitement benzo par exemple si oui lequel lesquels de combien Traitement par bêta-bloquant inchangé 9 votre score après avoir répondu à ce questionnaire avec vos réponses avant traitement http www automesure com Pages formulaire alcool html Je ne me rappelle plus exactement si c'était 31 33 ou 34 ;10033775 10043882 10041349 10002866 10016365 10012374 10036628;;non
Ménager la machine  Je trouve aussi J'ai pris longtemps du Tramadol je vois des toxicos qui y sont accros ben j'ai arrêté net quand j'ai eu un anti-inflamatoire qui marchait mieux Je n'avais que l'effet antalgique Là avec le baclo au 3ème jour à 30 mg j'avait mes premières insomnies-bouffées de chaleur Du coup si ça pouvait être aussi net pour le craving Au passage Sylvie répondait à une de mes questions sur le rapport entre la masse corporelle et la posologie je confirme ce qu'elle m'a dit aucun rapport Etant en surpoids limite obésité IMC de 30 ayant atteint 32 si les ES ont commencé avec 30mg c'est clair que je suis sensible à cette molécule Pour le meilleur aussi je l'espère ;;N02AX02;non
